"Date","Time","State.UnionTerritory","ConfirmedIndianNational","ConfirmedForeignNational","CFR","Recovery_Rate","Population_State","Cases_type","Cases_counts"
2020-03-09,"6:00 PM","Rajasthan",1,14,0,0,81032689,"Cured",0
2020-03-09,"6:00 PM","Tamil Nadu",1,0,0,0,77841267,"Cured",0
2020-03-09,"6:00 PM","Telangana",1,0,0,0,39362732,"Cured",0
2020-03-09,"6:00 PM","Jammu and Kashmir",1,0,0,0,13606320,"Cured",0
2020-03-09,"6:00 PM","Uttar Pradesh",7,0,0,0,237882725,"Cured",0
2020-03-09,"6:00 PM","Haryana",0,2,0,0,28204692,"Cured",0
2020-03-09,"6:00 PM","Delhi",4,0,0,0,18710922,"Cured",0
2020-03-10,"6:00 PM","Uttar Pradesh",7,0,0,0,237882725,"Cured",0
2020-03-10,"6:00 PM","Ladakh",2,0,0,0,289023,"Cured",0
2020-03-10,"6:00 PM","Delhi",4,0,0,0,18710922,"Cured",0
2020-03-10,"6:00 PM","Haryana",0,2,0,0,28204692,"Cured",0
2020-03-10,"6:00 PM","Karnataka",4,0,0,0,67562686,"Cured",0
2020-03-10,"6:00 PM","Kerala",15,0,0,20,35699443,"Cured",3
2020-03-10,"6:00 PM","Maharashtra",5,0,0,0,123144223,"Cured",0
2020-03-10,"6:00 PM","Punjab",1,0,0,0,30141373,"Cured",0
2020-03-10,"6:00 PM","Rajasthan",1,14,0,0,81032689,"Cured",0
2020-03-10,"6:00 PM","Tamil Nadu",1,0,0,0,77841267,"Cured",0
2020-03-10,"6:00 PM","Telangana",1,0,0,0,39362732,"Cured",0
2020-03-10,"6:00 PM","Jammu and Kashmir",1,0,0,0,13606320,"Cured",0
2020-03-11,"6:00 PM","Maharashtra",2,0,0,0,123144223,"Cured",0
2020-03-11,"6:00 PM","Delhi",5,0,0,0,18710922,"Cured",0
2020-03-11,"6:00 PM","Haryana",0,14,0,0,28204692,"Cured",0
2020-03-11,"6:00 PM","Kerala",17,0,0,17.65,35699443,"Cured",3
2020-03-11,"6:00 PM","Rajasthan",1,2,0,0,81032689,"Cured",0
2020-03-11,"6:00 PM","Telangana",1,0,0,0,39362732,"Cured",0
2020-03-11,"6:00 PM","Uttar Pradesh",9,0,0,0,237882725,"Cured",0
2020-03-11,"6:00 PM","Ladakh",2,0,0,0,289023,"Cured",0
2020-03-11,"6:00 PM","Tamil Nadu",1,0,0,0,77841267,"Cured",0
2020-03-11,"6:00 PM","Jammu and Kashmir",1,0,0,0,13606320,"Cured",0
2020-03-11,"6:00 PM","Punjab",1,0,0,0,30141373,"Cured",0
2020-03-11,"6:00 PM","Karnataka",4,0,0,0,67562686,"Cured",0
2020-03-12,"6:00 PM","Delhi",6,0,0,0,18710922,"Cured",0
2020-03-12,"6:00 PM","Haryana",0,14,0,0,28204692,"Cured",0
2020-03-12,"6:00 PM","Kerala",17,0,0,17.65,35699443,"Cured",3
2020-03-12,"6:00 PM","Rajasthan",1,2,0,0,81032689,"Cured",0
2020-03-12,"6:00 PM","Telangana",1,0,0,0,39362732,"Cured",0
2020-03-12,"6:00 PM","Uttar Pradesh",10,1,0,0,237882725,"Cured",0
2020-03-12,"6:00 PM","Ladakh",3,0,0,0,289023,"Cured",0
2020-03-12,"6:00 PM","Tamil Nadu",1,0,0,0,77841267,"Cured",0
2020-03-12,"6:00 PM","Jammu and Kashmir",1,0,0,0,13606320,"Cured",0
2020-03-12,"6:00 PM","Punjab",1,0,0,0,30141373,"Cured",0
2020-03-12,"6:00 PM","Karnataka",4,0,0,0,67562686,"Cured",0
2020-03-12,"6:00 PM","Maharashtra",11,0,0,0,123144223,"Cured",0
2020-03-12,"6:00 PM","Andhra Pradesh",1,0,0,0,53903393,"Cured",0
2020-03-13,"6:00 PM","Delhi",6,0,0,0,18710922,"Cured",0
2020-03-13,"6:00 PM","Haryana",0,14,0,0,28204692,"Cured",0
2020-03-13,"6:00 PM","Kerala",19,0,0,15.79,35699443,"Cured",3
2020-03-13,"6:00 PM","Rajasthan",1,2,0,0,81032689,"Cured",0
2020-03-13,"6:00 PM","Telangana",1,0,0,0,39362732,"Cured",0
2020-03-13,"6:00 PM","Uttar Pradesh",10,1,0,0,237882725,"Cured",0
2020-03-13,"6:00 PM","Ladakh",3,0,0,0,289023,"Cured",0
2020-03-13,"6:00 PM","Tamil Nadu",1,0,0,0,77841267,"Cured",0
2020-03-13,"6:00 PM","Jammu and Kashmir",1,0,0,0,13606320,"Cured",0
2020-03-13,"6:00 PM","Punjab",1,0,0,0,30141373,"Cured",0
2020-03-13,"6:00 PM","Karnataka",6,0,16.67,0,67562686,"Cured",0
2020-03-13,"6:00 PM","Maharashtra",14,0,0,0,123144223,"Cured",0
