"location","iso_code","continent","date","total_vaccinations","people_vaccinated","people_fully_vaccinated","daily_vaccinations_raw","daily_vaccinations","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","daily_vaccinations_per_million"
"Argentina","ARG","Americas",2021-04-11,5313612,4586426,727186,112144,154158,11.76,10.15,1.61,3411
"Austria","AUT","Europe",2021-04-11,2117170,1491518,625652,25212,47369,23.51,16.56,6.95,5259
"Bahrain","BHR","Asia",2021-04-11,956471,565171,391300,17403,19870,56.21,33.21,23,11677
"Belgium","BEL","Europe",2021-04-11,2503818,1882165,621653,2677,54075,21.6,16.24,5.36,4666
"Brazil","BRA","Americas",2021-04-11,26741261,20654434,6086827,192416,810162,12.58,9.72,2.86,3811
"Bulgaria","BGR","Europe",2021-04-11,572662,459409,113253,1600,9870,8.24,6.61,1.63,1420
"Cambodia","KHM","Asia",2021-04-11,1286585,1018605,267980,48597,65222,7.7,6.09,1.6,3901
"Canada","CAN","Americas",2021-04-11,7996122,7198857,797265,181374,232002,21.19,19.07,2.11,6147
"Czechia","CZE","Europe",2021-04-11,2089570,1370805,718765,18125,39078,19.51,12.8,6.71,3649
"Denmark","DNK","Europe",2021-04-11,1314027,868461,445566,1,18428,22.69,14.99,7.69,3182
"Estonia","EST","Europe",2021-04-11,333835,259061,74774,1628,6005,25.17,19.53,5.64,4527
"Finland","FIN","Europe",2021-04-11,1219580,1124365,95215,33545,22284,22.01,20.29,1.72,4022
"Germany","DEU","Europe",2021-04-11,18231747,13196552,5035195,247428,457664,21.76,15.75,6.01,5462
"Hong Kong","HKG","Asia",2021-04-11,834773,578889,255884,43241,39819,11.13,7.72,3.41,5311
"Hungary","HUN","Europe",2021-04-11,4117641,2900383,1217258,84062,120256,42.62,30.02,12.6,12448
"India","IND","Asia",2021-04-11,104528565,91587400,12941165,2933418,3631915,7.57,6.64,0.94,2632
"Isle of Man","IMN","Europe",2021-04-11,61296,45855,15441,407,974,72.09,53.93,18.16,11455
"Israel","ISR","Asia",2021-04-11,10256698,5320075,4936623,23008,20386,118.5,61.46,57.03,2355
"Italy","ITA","Europe",2021-04-11,13032996,9108332,3924664,176142,265795,21.56,15.06,6.49,4396
"Lithuania","LTU","Europe",2021-04-11,669044,479691,189353,1381,14613,24.58,17.62,6.96,5368
"Macao","MAC","Asia",2021-04-11,67431,44838,22593,1917,1640,10.38,6.91,3.48,2526
"Mexico","MEX","Americas",2021-04-11,11395137,9325316,2069821,190954,337020,8.84,7.23,1.61,2614
"Montenegro","MNE","Europe",2021-04-11,42450,35697,6753,1078,1820,6.76,5.68,1.08,2898
"Poland","POL","Europe",2021-04-11,7687617,5581068,2106549,52353,146958,20.31,14.75,5.57,3883
"Portugal","PRT","Europe",2021-04-11,2200510,1572332,628176,12911,42082,21.58,15.42,6.16,4127
"Russia","RUS","Europe",2021-04-11,14108341,8692848,5415493,130944,283933,9.67,5.96,3.71,1946
"Slovakia","SVK","Europe",2021-04-11,1146391,857402,288989,12440,17001,21,15.7,5.29,3114
"South Korea","KOR","Asia",2021-04-11,1217766,1157255,60511,306,32525,2.38,2.26,0.12,634
"Turkey","TUR","Asia",2021-04-11,18494796,10907432,7587364,49442,258818,21.93,12.93,9,3069
"Ukraine","UKR","Europe",2021-04-11,378269,378264,5,1216,12349,0.86,0.86,0,282
"United States","USA","Americas",2021-04-11,187047131,119242902,72630892,3579422,3141912,55.93,35.65,21.72,9394
"Uruguay","URY","Americas",2021-04-11,1024657,825762,198895,124,34214,29.5,23.77,5.73,9849
"Argentina","ARG","Americas",2021-04-10,5201468,4478948,722520,245445,146082,11.51,9.91,1.6,3232
"Austria","AUT","Europe",2021-04-10,2091958,1481434,610524,62437,45189,23.23,16.45,6.78,5017
"Azerbaijan","AZE","Asia",2021-04-10,1153549,739319,414230,41827,32677,11.38,7.29,4.09,3223
"Bahrain","BHR","Asia",2021-04-10,939068,562253,376815,19846,20163,55.19,33.04,22.14,11850
"Belgium","BEL","Europe",2021-04-10,2501141,1879498,621643,54807,53703,21.58,16.22,5.36,4634
"Brazil","BRA","Americas",2021-04-10,26548845,20513828,6035017,813531,798868,12.49,9.65,2.84,3758
"Bulgaria","BGR","Europe",2021-04-10,571062,458084,112978,3666,9855,8.22,6.59,1.63,1418
"Cambodia","KHM","Asia",2021-04-10,1237988,972028,265960,63953,65782,7.4,5.81,1.59,3935
"Canada","CAN","Americas",2021-04-10,7814748,7020562,794186,245427,222392,20.71,18.6,2.1,5892
"Chile","CHL","Americas",2021-04-10,12031595,7369321,4662274,24708,175970,62.94,38.55,24.39,9205
"Colombia","COL","Americas",2021-04-10,3041349,2232564,808785,95127,94329,5.98,4.39,1.59,1854
"Croatia","HRV","Europe",2021-04-10,583931,473522,110409,18146,9027,14.22,11.53,2.69,2199
"Czechia","CZE","Europe",2021-04-10,2071445,1362303,709142,28790,38078,19.34,12.72,6.62,3556
"Denmark","DNK","Europe",2021-04-10,1314026,868461,445565,21704,20354,22.69,14.99,7.69,3514
"Finland","FIN","Europe",2021-04-10,1186035,1091652,94383,25716,17786,21.41,19.7,1.7,3210
"France","FRA","Europe",2021-04-10,14444958,10757542,3687416,295764,300345,21.2,15.79,5.41,4407
"Germany","DEU","Europe",2021-04-10,17984319,12998521,4985798,347150,450156,21.47,15.51,5.95,5373
"Gibraltar","GIB","Europe",2021-04-10,63671,33979,29692,654,190,188.99,100.85,88.13,5639
"Greece","GRC","Europe",2021-04-10,2169353,1435503,733850,55131,48427,20.81,13.77,7.04,4646
"Guatemala","GTM","Americas",2021-04-10,139010,137371,1639,1294,3500,0.78,0.77,0.01,195
"Hong Kong","HKG","Asia",2021-04-10,791532,559932,231600,46514,35368,10.56,7.47,3.09,4718
"Hungary","HUN","Europe",2021-04-10,4033579,2835894,1197685,101166,116566,41.75,29.36,12.4,12066
"India","IND","Asia",2021-04-10,101595147,88885961,12709186,3519987,3659357,7.36,6.44,0.92,2652
"Isle of Man","IMN","Europe",2021-04-10,60889,45462,15427,1131,973,71.61,53.46,18.14,11443
"Israel","ISR","Asia",2021-04-10,10233690,5311131,4922559,5112,22037,118.23,61.36,56.87,2546
"Italy","ITA","Europe",2021-04-10,12856854,8969073,3887781,297492,254295,21.26,14.83,6.43,4206
"Latvia","LVA","Europe",2021-04-10,177010,150719,26291,1175,4200,9.38,7.99,1.39,2227
"Lebanon","LBN","Asia",2021-04-10,273587,170571,103016,1208,6821,4.01,2.5,1.51,999
"Lithuania","LTU","Europe",2021-04-10,667663,478352,189311,12763,14760,24.53,17.57,6.95,5422
"Macao","MAC","Asia",2021-04-10,65514,43967,21547,2621,1544,10.09,6.77,3.32,2378
"Maldives","MDV","Asia",2021-04-10,283753,268459,15294,827,5469,52.49,49.66,2.83,10118
"Malta","MLT","Europe",2021-04-10,240984,171678,69306,3178,4074,54.58,38.88,15.7,9227
"Mexico","MEX","Americas",2021-04-10,11204183,9227666,1976517,219314,316713,8.69,7.16,1.53,2456
"Montenegro","MNE","Europe",2021-04-10,41372,35290,6082,1560,2057,6.59,5.62,0.97,3275
"Morocco","MAR","Africa",2021-04-10,8606571,4471831,4134740,54267,52243,23.32,12.12,11.2,1415
"Peru","PER","Americas",2021-04-10,1046978,647327,399651,7767,12464,3.18,1.96,1.21,378
"Portugal","PRT","Europe",2021-04-10,2187599,1561527,626070,69559,42799,21.45,15.31,6.14,4197
"Romania","ROU","Europe",2021-04-10,3642345,2258352,1383993,61939,54721,18.93,11.74,7.19,2844
"Russia","RUS","Europe",2021-04-10,13977397,8575951,5401446,348518,276934,9.58,5.88,3.7,1898
"San Marino","SMR","Europe",2021-04-10,16889,9187,7702,482,488,49.76,27.07,22.69,14379
"Serbia","SRB","Europe",2021-04-10,2882854,1716843,1166011,46842,48297,42.37,25.23,17.14,7098
"Slovakia","SVK","Europe",2021-04-10,1133951,846223,287728,16334,15809,20.77,15.5,5.27,2896
"South Africa","ZAF","Africa",2021-04-10,288406,288406,288406,38,2567,0.49,0.49,0.49,43
"South Korea","KOR","Asia",2021-04-10,1217460,1156950,60510,9978,32583,2.37,2.26,0.12,636
"Thailand","THA","Asia",2021-04-10,555396,485957,69439,18016,43216,0.8,0.7,0.1,619
"Tunisia","TUN","Africa",2021-04-10,150963,142932,8031,20589,10118,1.28,1.21,0.07,856
"Turkey","TUR","Asia",2021-04-10,18445354,10865731,7579623,124970,263205,21.87,12.88,8.99,3121
"Ukraine","UKR","Europe",2021-04-10,377053,377048,5,4048,12545,0.86,0.86,0,287
"United Kingdom","GBR","Europe",2021-04-10,39587893,32121353,7466540,586339,381415,58.32,47.32,11,5618
"United States","USA","Americas",2021-04-10,183467709,117142879,70692645,4629928,3111327,54.86,35.03,21.14,9303
"Uruguay","URY","Americas",2021-04-10,1024533,825641,198892,26421,34247,29.49,23.77,5.73,9859
"Zimbabwe","ZWE","Africa",2021-04-10,222733,193936,28797,16528,12831,1.5,1.3,0.19,863
"Argentina","ARG","Americas",2021-04-09,4956023,4244964,711059,184809,118982,10.97,9.39,1.57,2633
"Austria","AUT","Europe",2021-04-09,2029521,1446234,583287,73877,39277,22.53,16.06,6.48,4361
"Azerbaijan","AZE","Asia",2021-04-09,1111722,706433,405289,42234,31813,10.96,6.97,4,3138
"Bahrain","BHR","Asia",2021-04-09,919222,557298,361924,18347,19527,54.02,32.75,21.27,11476
"Belgium","BEL","Europe",2021-04-09,2446334,1827013,619321,114642,48747,21.11,15.76,5.34,4206
"Bolivia","BOL","Americas",2021-04-09,423842,282801,141041,23038,14825,3.63,2.42,1.21,1270
"Brazil","BRA","Americas",2021-04-09,25735314,19886870,5848444,754115,728920,12.11,9.36,2.75,3429
"Bulgaria","BGR","Europe",2021-04-09,567396,454711,112685,14880,9902,8.17,6.54,1.62,1425
"Cambodia","KHM","Asia",2021-04-09,1174035,913171,260864,102775,64693,7.02,5.46,1.56,3869
"Canada","CAN","Americas",2021-04-09,7569321,6788921,780400,316761,216033,20.06,17.99,2.07,5724
"Cayman Islands","CYM","Americas",2021-04-09,56214,31661,24553,1161,714,85.54,48.18,37.36,10864
"Chile","CHL","Americas",2021-04-09,12006887,7358961,4647926,214265,172897,62.81,38.5,24.31,9045
"Colombia","COL","Americas",2021-04-09,2946222,2201956,744266,133394,87154,5.79,4.33,1.46,1713
"Croatia","HRV","Europe",2021-04-09,565785,458762,107023,22349,6953,13.78,11.17,2.61,1694
"Czechia","CZE","Europe",2021-04-09,2042655,1348205,694450,63337,36004,19.07,12.59,6.48,3362
"Denmark","DNK","Europe",2021-04-09,1292322,851755,440567,24630,19299,22.31,14.71,7.61,3332
"Finland","FIN","Europe",2021-04-09,1160319,1066860,93459,39666,15048,20.94,19.25,1.69,2716
"France","FRA","Europe",2021-04-09,14149194,10544541,3604653,513031,287096,20.76,15.47,5.29,4213
"Germany","DEU","Europe",2021-04-09,17637169,12714146,4923023,599285,433266,21.05,15.17,5.88,5171
"Greece","GRC","Europe",2021-04-09,2114222,1394013,720209,55472,48103,20.28,13.37,6.91,4615
"Guatemala","GTM","Americas",2021-04-09,137716,136077,1639,5105,3566,0.77,0.76,0.01,199
"Hong Kong","HKG","Asia",2021-04-09,745018,543629,201389,44741,30545,9.94,7.25,2.69,4074
"Hungary","HUN","Europe",2021-04-09,3932413,2760938,1171475,117172,115097,40.71,28.58,12.13,11914
"Iceland","ISL","Europe",2021-04-09,86368,58567,27801,6642,1758,25.31,17.16,8.15,5152
"India","IND","Asia",2021-04-09,98075160,85763852,12311308,3740898,3574409,7.11,6.21,0.89,2590
"Isle of Man","IMN","Europe",2021-04-09,59758,44343,15415,1261,990,70.28,52.15,18.13,11643
"Israel","ISR","Asia",2021-04-09,10228578,5309546,4919032,9596,21907,118.17,61.34,56.83,2531
"Italy","ITA","Europe",2021-04-09,12559362,8736816,3822546,315232,243763,20.77,14.45,6.32,4032
"Japan","JPN","Asia",2021-04-09,1592517,1101698,490819,104911,70831,1.26,0.87,0.39,560
"Latvia","LVA","Europe",2021-04-09,175835,149582,26253,4221,4304,9.32,7.93,1.39,2282
"Lebanon","LBN","Asia",2021-04-09,272379,170506,101873,3801,6667,3.99,2.5,1.49,977
"Lithuania","LTU","Europe",2021-04-09,654900,465765,189135,31205,14173,24.06,17.11,6.95,5206
"Macao","MAC","Asia",2021-04-09,62893,42802,20091,2115,1324,9.69,6.59,3.09,2039
"Malaysia","MYS","Asia",2021-04-09,941200,565940,375260,21479,24364,2.91,1.75,1.16,753
"Maldives","MDV","Asia",2021-04-09,282926,267795,15131,2740,5971,52.34,49.54,2.8,11046
"Malta","MLT","Europe",2021-04-09,237806,170315,67491,5471,4106,53.86,38.57,15.29,9299
"Montenegro","MNE","Europe",2021-04-09,39812,34172,5640,1271,2116,6.34,5.44,0.9,3369
"Morocco","MAR","Africa",2021-04-09,8552304,4449047,4103257,43075,54379,23.17,12.05,11.12,1473
"Peru","PER","Americas",2021-04-09,1039211,646035,393176,14921,12409,3.15,1.96,1.19,376
"Portugal","PRT","Europe",2021-04-09,2118040,1504553,613485,70492,37924,20.77,14.76,6.02,3719
"Romania","ROU","Europe",2021-04-09,3580406,2228798,1351608,54289,53790,18.61,11.59,7.03,2796
"Russia","RUS","Europe",2021-04-09,13628879,8333331,5295548,274377,264226,9.34,5.71,3.63,1811
"San Marino","SMR","Europe",2021-04-09,16407,9187,7220,734,494,48.34,27.07,21.27,14556
"Slovakia","SVK","Europe",2021-04-09,1117617,830748,286869,25299,15111,20.47,15.22,5.25,2768
"Slovenia","SVN","Europe",2021-04-09,428589,308522,120067,0,3986,20.62,14.84,5.78,1917
"South Africa","ZAF","Africa",2021-04-09,288368,288368,288368,4739,2657,0.49,0.49,0.49,45
"South Korea","KOR","Asia",2021-04-09,1207482,1148060,59422,41680,32507,2.36,2.24,0.12,634
"Spain","ESP","Europe",2021-04-09,10231825,7159716,3072109,420296,255207,21.88,15.31,6.57,5458
"Sweden","SWE","Europe",2021-04-09,1924772,1355828,568944,68106,32704,19.06,13.43,5.63,3238
"Thailand","THA","Asia",2021-04-09,537380,470301,67079,71006,43643,0.77,0.67,0.1,625
"Tunisia","TUN","Africa",2021-04-09,130374,125395,4979,5595,8515,1.1,1.06,0.04,720
"Turkey","TUR","Asia",2021-04-09,18320384,10777451,7542933,230601,286173,21.72,12.78,8.94,3393
"Ukraine","UKR","Europe",2021-04-09,373005,373000,5,19858,12337,0.85,0.85,0,282
"United Kingdom","GBR","Europe",2021-04-09,39001554,32010244,6991310,557014,338624,57.45,47.15,10.3,4988
"United States","USA","Americas",2021-04-09,178837781,114436039,68202458,3958065,3033045,53.47,34.22,20.39,9069
"Uruguay","URY","Americas",2021-04-09,998112,808486,189626,37280,32285,28.73,23.27,5.46,9294
"Zimbabwe","ZWE","Africa",2021-04-09,206205,178237,27968,12528,11636,1.39,1.2,0.19,783
"Argentina","ARG","Americas",2021-04-08,4771214,4064154,707060,199395,106885,10.56,8.99,1.56,2365
"Austria","AUT","Europe",2021-04-08,1955644,1403065,552579,68154,34854,21.71,15.58,6.14,3870
"Azerbaijan","AZE","Asia",2021-04-08,1069488,672503,396985,43698,30446,10.55,6.63,3.92,3003
"Bahrain","BHR","Asia",2021-04-08,900875,552084,348791,21050,17954,52.94,32.45,20.5,10551
"Bangladesh","BGD","Asia",2021-04-08,5664830,5583507,81323,96127,36020,3.44,3.39,0.05,219
"Belgium","BEL","Europe",2021-04-08,2331692,1721392,610300,108788,43664,20.12,14.85,5.27,3768
"Bolivia","BOL","Americas",2021-04-08,400804,263732,137072,22349,11813,3.43,2.26,1.17,1012
"Brazil","BRA","Americas",2021-04-08,24981199,19386057,5595142,783203,726681,11.75,9.12,2.63,3419
"Bulgaria","BGR","Europe",2021-04-08,552516,442439,110077,19063,9502,7.95,6.37,1.58,1368
"Cambodia","KHM","Asia",2021-04-08,1071260,813826,257434,59611,57059,6.41,4.87,1.54,3413
"Canada","CAN","Americas",2021-04-08,7252560,6488833,763727,262416,193674,19.22,17.19,2.02,5132
"Cayman Islands","CYM","Americas",2021-04-08,55053,31459,23594,1579,613,83.77,47.87,35.9,9327
"Chile","CHL","Americas",2021-04-08,11792622,7290156,4502466,236976,143287,61.69,38.14,23.55,7496
"Colombia","COL","Americas",2021-04-08,2812828,2172751,640077,121315,73134,5.53,4.27,1.26,1437
"Croatia","HRV","Europe",2021-04-08,543436,440890,102546,10027,6431,13.24,10.74,2.5,1567
"Czechia","CZE","Europe",2021-04-08,1979318,1313218,666100,65149,29702,18.48,12.26,6.22,2774
"Denmark","DNK","Europe",2021-04-08,1267692,835348,432344,22067,17487,21.89,14.42,7.46,3019
"Estonia","EST","Europe",2021-04-08,308633,236598,72035,6007,5939,23.27,17.84,5.43,4477
"Finland","FIN","Europe",2021-04-08,1120653,1028848,91805,37086,14350,20.23,18.57,1.66,2590
"France","FRA","Europe",2021-04-08,13636163,10148039,3488124,475411,266386,20.01,14.89,5.12,3909
"Germany","DEU","Europe",2021-04-08,17037884,12197651,4840233,717884,380162,20.34,14.56,5.78,4537
"Greece","GRC","Europe",2021-04-08,2058750,1353956,704794,55106,45671,19.75,12.99,6.76,4382
"Guatemala","GTM","Americas",2021-04-08,132611,130985,1626,4666,3168,0.74,0.73,0.01,177
"Hong Kong","HKG","Asia",2021-04-08,700277,529474,170803,40519,25705,9.34,7.06,2.28,3429
"Hungary","HUN","Europe",2021-04-08,3815241,2689102,1126139,129210,113624,39.49,27.84,11.66,11762
"India","IND","Asia",2021-04-08,94334262,82456522,11877740,4135589,3649303,6.84,5.98,0.86,2644
"Isle of Man","IMN","Europe",2021-04-08,58497,43094,15403,1263,985,68.79,50.68,18.11,11584
"Israel","ISR","Asia",2021-04-08,10218982,5306004,4912978,26227,22066,118.06,61.3,56.76,2549
"Italy","ITA","Europe",2021-04-08,12244130,8499681,3744449,315436,237953,20.25,14.06,6.19,3936
"Japan","JPN","Asia",2021-04-08,1487606,1066385,421221,94498,62499,1.18,0.84,0.33,494
"Latvia","LVA","Europe",2021-04-08,171614,145540,26074,6797,3973,9.1,7.72,1.38,2106
"Lebanon","LBN","Asia",2021-04-08,268578,167957,100621,9425,6607,3.93,2.46,1.47,968
"Lithuania","LTU","Europe",2021-04-08,623695,438015,185680,26090,12509,22.91,16.09,6.82,4595
"Luxembourg","LUX","Europe",2021-04-08,121953,91074,30879,4816,3228,19.48,14.55,4.93,5157
"Macao","MAC","Asia",2021-04-08,60778,41914,18864,2102,1144,9.36,6.45,2.91,1762
"Malaysia","MYS","Asia",2021-04-08,919721,558750,360971,26689,25642,2.84,1.73,1.12,792
"Maldives","MDV","Asia",2021-04-08,280186,265235,14951,9332,5630,51.83,49.07,2.77,10415
"Malta","MLT","Europe",2021-04-08,232335,167130,65205,4729,4112,52.62,37.85,14.77,9313
"Mexico","MEX","Americas",2021-04-08,10642873,8978215,1664658,553453,342160,8.25,6.96,1.29,2654
"Montenegro","MNE","Europe",2021-04-08,38541,33163,5378,1684,2214,6.14,5.28,0.86,3525
"Morocco","MAR","Africa",2021-04-08,8509229,4433939,4075290,61123,58968,23.05,12.01,11.04,1598
"Norway","NOR","Europe",2021-04-08,1131328,835970,295358,56211,20813,20.87,15.42,5.45,3839
"Palestine","PSE","Asia",2021-04-08,143142,131394,11748,10750,7132,2.81,2.58,0.23,1398
"Peru","PER","Americas",2021-04-08,1024290,639365,384925,20537,10756,3.11,1.94,1.17,326
"Poland","POL","Europe",2021-04-08,7263426,5167241,2096185,263774,114380,19.19,13.65,5.54,3022
"Portugal","PRT","Europe",2021-04-08,2047548,1449067,598479,61848,39751,20.08,14.21,5.87,3898
"Romania","ROU","Europe",2021-04-08,3526117,2206254,1319863,56823,54316,18.33,11.47,6.86,2823
"Russia","RUS","Europe",2021-04-08,13354502,8146598,5207904,306702,244601,9.15,5.58,3.57,1676
"San Marino","SMR","Europe",2021-04-08,15673,9021,6652,876,432,46.18,26.58,19.6,12729
"Slovakia","SVK","Europe",2021-04-08,1092318,814738,277580,23174,12177,20.01,14.92,5.08,2230
"Slovenia","SVN","Europe",2021-04-08,428589,308522,120067,14396,5676,20.62,14.84,5.78,2730
"South Africa","ZAF","Africa",2021-04-08,283629,283629,283629,4720,2075,0.48,0.48,0.48,35
"South Korea","KOR","Asia",2021-04-08,1165802,1113666,52136,47581,33125,2.27,2.17,0.1,646
"Spain","ESP","Europe",2021-04-08,9811529,6791079,3020450,453682,209911,20.99,14.52,6.46,4490
"Sweden","SWE","Europe",2021-04-08,1856666,1307614,549052,41385,27126,18.38,12.95,5.44,2686
"Thailand","THA","Asia",2021-04-08,466374,405911,60463,74622,35947,0.67,0.58,0.09,515
"Tunisia","TUN","Africa",2021-04-08,124779,119919,4860,12525,8347,1.06,1.01,0.04,706
"Turkey","TUR","Asia",2021-04-08,18089783,10627037,7462746,384895,277300,21.45,12.6,8.85,3288
"Ukraine","UKR","Europe",2021-04-08,353147,353142,5,18569,12187,0.81,0.81,0,279
"United Kingdom","GBR","Europe",2021-04-08,38444540,31903366,6541174,545511,309629,56.63,47,9.64,4561
"United States","USA","Americas",2021-04-08,174879716,112046611,66203123,3403061,3035473,52.29,33.5,19.8,9076
"Uruguay","URY","Americas",2021-04-08,960832,798083,162749,48461,34016,27.66,22.97,4.69,9792
"Zimbabwe","ZWE","Africa",2021-04-08,193677,166543,27134,14260,12624,1.3,1.12,0.18,849
"Argentina","ARG","Americas",2021-04-07,4571819,3870734,701085,167644,97127,10.12,8.56,1.55,2149
"Austria","AUT","Europe",2021-04-07,1887490,1358380,529110,52894,30889,20.96,15.08,5.87,3430
"Azerbaijan","AZE","Asia",2021-04-07,1025790,639463,386327,43499,32441,10.12,6.31,3.81,3200
"Bahrain","BHR","Asia",2021-04-07,879825,546540,333285,23499,16215,51.71,32.12,19.59,9529
"Belgium","BEL","Europe",2021-04-07,2222904,1623649,599255,41835,41905,19.18,14.01,5.17,3616
"Bolivia","BOL","Americas",2021-04-07,378455,245763,132692,20531,10610,3.24,2.11,1.14,909
"Brazil","BRA","Americas",2021-04-07,24197996,18859274,5338722,1347205,720288,11.38,8.87,2.51,3389
"Bulgaria","BGR","Europe",2021-04-07,533453,425706,107747,13818,8716,7.68,6.13,1.55,1254
"Cambodia","KHM","Asia",2021-04-07,1011649,756526,255123,65934,52269,6.05,4.52,1.53,3126
"Canada","CAN","Americas",2021-04-07,6990144,6243477,746667,231527,185681,18.52,16.54,1.98,4920
"Chile","CHL","Americas",2021-04-07,11555646,7214466,4341180,231745,152614,60.45,37.74,22.71,7983
"Croatia","HRV","Europe",2021-04-07,533409,432601,100808,6995,8130,12.99,10.54,2.46,1980
"Czechia","CZE","Europe",2021-04-07,1914169,1277701,636468,44249,28445,17.87,11.93,5.94,2656
"Denmark","DNK","Europe",2021-04-07,1245625,821680,423945,24819,15928,21.51,14.19,7.32,2750
"Estonia","EST","Europe",2021-04-07,302626,231710,70916,3606,5934,22.81,17.47,5.35,4473
"Finland","FIN","Europe",2021-04-07,1083567,993227,90340,18148,14576,19.56,17.93,1.63,2631
"France","FRA","Europe",2021-04-07,13160752,9818102,3342650,371223,253421,19.31,14.41,4.91,3719
"Germany","DEU","Europe",2021-04-07,16320000,11567003,4752997,668171,322857,19.48,13.81,5.67,3853
"Greece","GRC","Europe",2021-04-07,2003644,1312896,690748,57305,43405,19.22,12.6,6.63,4164
"Guatemala","GTM","Americas",2021-04-07,127945,126320,1625,4472,2826,0.71,0.71,0.01,158
"Hong Kong","HKG","Asia",2021-04-07,659758,516014,143744,43787,22098,8.8,6.88,1.92,2948
"Hungary","HUN","Europe",2021-04-07,3686031,2608084,1077947,143344,118982,38.16,27,11.16,12317
"India","IND","Asia",2021-04-07,90198673,78763027,11435646,3121199,3582968,6.54,5.71,0.83,2596
"Ireland","IRL","Europe",2021-04-07,1018264,716636,301628,56377,21829,20.62,14.51,6.11,4421
"Isle of Man","IMN","Europe",2021-04-07,57234,41846,15388,1194,973,67.31,49.21,18.1,11443
"Israel","ISR","Asia",2021-04-07,10192755,5296607,4896148,23664,22114,117.76,61.19,56.57,2555
"Italy","ITA","Europe",2021-04-07,11928694,8268836,3659858,310369,232569,19.73,13.68,6.05,3847
"Japan","JPN","Asia",2021-04-07,1393108,1036429,356679,104542,55767,1.1,0.82,0.28,441
"Latvia","LVA","Europe",2021-04-07,164817,139006,25811,8542,3587,8.74,7.37,1.37,1902
"Lebanon","LBN","Asia",2021-04-07,259153,161164,97989,14381,6124,3.8,2.36,1.44,897
"Lithuania","LTU","Europe",2021-04-07,597605,416785,180820,12554,11368,21.95,15.31,6.64,4176
"Luxembourg","LUX","Europe",2021-04-07,117137,88717,28420,4373,3069,18.71,14.17,4.54,4903
"Macao","MAC","Asia",2021-04-07,58676,41117,17559,1425,1094,9.04,6.33,2.7,1685
"Malaysia","MYS","Asia",2021-04-07,893032,546762,346270,30587,27833,2.76,1.69,1.07,860
"Maldives","MDV","Asia",2021-04-07,270854,260285,10569,7022,4734,50.11,48.15,1.96,8758
"Malta","MLT","Europe",2021-04-07,227606,164492,63114,4586,4318,51.55,37.25,14.29,9779
"Mexico","MEX","Americas",2021-04-07,10089420,8617038,1472382,413903,319767,7.83,6.68,1.14,2480
"Montenegro","MNE","Europe",2021-04-07,36857,31710,5147,2522,2067,5.87,5.05,0.82,3291
"Morocco","MAR","Africa",2021-04-07,8448106,4410023,4038083,72865,64787,22.89,11.95,10.94,1755
"Norway","NOR","Europe",2021-04-07,1075117,783782,291335,61450,14335,19.83,14.46,5.37,2644
"Palestine","PSE","Asia",2021-04-07,132392,120772,11620,11066,6475,2.6,2.37,0.23,1269
"Paraguay","PRY","Americas",2021-04-07,48684,46000,2684,1120,479,0.68,0.64,0.04,67
"Peru","PER","Americas",2021-04-07,1003753,632701,371052,17856,8498,3.04,1.92,1.13,258
"Portugal","PRT","Europe",2021-04-07,1985700,1397658,588040,39718,34298,19.47,13.71,5.77,3364
"Romania","ROU","Europe",2021-04-07,3469294,2180807,1288487,55339,54429,18.03,11.34,6.7,2829
"Russia","RUS","Europe",2021-04-07,13047800,7908918,5138882,572846,239175,8.94,5.42,3.52,1639
"San Marino","SMR","Europe",2021-04-07,14797,8876,5921,695,351,43.6,26.15,17.45,10342
"Serbia","SRB","Europe",2021-04-07,2687311,1552535,1134776,61641,34702,39.49,22.82,16.68,5100
"Slovakia","SVK","Europe",2021-04-07,1069144,799347,269797,21889,11857,19.58,14.64,4.94,2172
"Slovenia","SVN","Europe",2021-04-07,414193,294634,119559,6125,6333,19.92,14.17,5.75,3046
"South Africa","ZAF","Africa",2021-04-07,278909,278909,278909,6471,2147,0.47,0.47,0.47,36
"South Korea","KOR","Asia",2021-04-07,1118221,1075574,42647,45741,32668,2.18,2.1,0.08,637
"Spain","ESP","Europe",2021-04-07,9357847,6416016,2941831,336846,188955,20.01,13.72,6.29,4041
"Sweden","SWE","Europe",2021-04-07,1815281,1274352,540929,3194,23434,17.97,12.62,5.36,2320
"Switzerland","CHE","Europe",2021-04-07,1690425,1048063,642362,67090,21914,19.53,12.11,7.42,2532
"Thailand","THA","Asia",2021-04-07,391752,336808,54944,67763,27734,0.56,0.48,0.08,397
"Tunisia","TUN","Africa",2021-04-07,112254,108266,3988,7332,7189,0.95,0.92,0.03,608
"Turkey","TUR","Asia",2021-04-07,17704888,10359390,7345498,337013,267157,20.99,12.28,8.71,3168
"Ukraine","UKR","Europe",2021-04-07,334578,334576,2,14313,12263,0.77,0.77,0,280
"United Kingdom","GBR","Europe",2021-04-07,37899029,31807124,6091905,507926,319732,55.83,46.85,8.97,4710
"United States","USA","Americas",2021-04-07,171476655,109995734,64422618,2884580,3029052,51.27,32.89,19.26,9057
"Uruguay","URY","Americas",2021-04-07,912371,770887,141484,45505,34200,26.26,22.19,4.07,9845
