"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29"
"Angola",-0.0826054038683105,0.0343258908966358,-0.0201335342301984,-0.0140639505889525,-0.0359735633974594,-0.0220907885768881,-0.0122722459982574,0.0297100752417732,0.0513366203839663,0.0128015508948543,-0.00251439235896579,-0.0218631611955427,0.00615225149340669,0.0193108747503249,0.0388329019222907,0.0365823978194058,0.0324715429996675,-0.0606102197292501,-0.0578674933737619,-0.00774488714739165,-0.0498089068952651,-0.00611034061457325,0.0162673441073151,-0.00191120965626071,0.0536575460666342,-0.0593374023014926,0.0145554598278736,0.00356809505412379,0.0344520454535857
"Armenia",-0.0661369294439206,-0.0443086260364427,-0.132303867081638,-0.0245340331333635,0.137365106418269,-0.0973130703138851,0.107314082964184,0.189170546555175,0.0963399341335326,0.131165117997336,0.0326105154798491,-0.0425973182451905,0.0203821901482882,0.0862759919708649,0.0873630726350696,0.110199146754705,-0.0200786540521499,0.0907918452535456,-0.170861304720605,0.19974672168353,0.141807039567243,-0.135640575689281,0.0917344549370181,0.0440082873169365,0.0371132051444569,-0.102771555229129,0.00622272896905327,-0.0788396828081615,-0.168203846852066
"Azerbaijan",-0.0756236493342694,-0.00367070697128857,0.0588679200412459,-0.219660409698178,0.0378837726958334,0.116732363281373,-0.0733424979594071,0.0337265881675135,0.0722430117396664,0.117099115683924,0.420665609851972,-0.0140027626554571,0.032584716725671,-0.0202949578978274,0.0580115311948367,0.0530035289590565,0.011475807418228,-0.0469370987320537,-0.0163988758717664,0.100949876308032,0.0525271404317612,-0.0249924335102085,0.144828956450551,-0.0745858849851281,0.0445343308560856,-0.047578648886417,0.0414709105881223,-0.00760698681902095,0.0292470985752606
"Bahrain",-0.0827589062912235,0.0358437927031009,-0.0228010205030876,-0.0080449336847518,-0.0291114495198991,-0.0185232899616236,-0.042026653901629,-0.00640458122216738,0.00903912441617482,-0.0346110181469123,0.0205213335038765,0.00993415442083433,0.0198305690853703,0.0200219284017784,0.00230380936960599,-0.0441597341136528,-0.106772346767179,-0.0484626733581027,-0.00666531113106033,0.00881290951476063,-0.0354124087293309,-0.017044055871586,-0.0228776698701756,-0.0288106994662365,-0.0510471573914264,0.0322566008103259,0.0226516910190107,0.0418114054553312,0.0103872511602233
"Bangladesh",-0.0830637081263059,0.0329982970483436,-0.0263481861324639,-0.0176273159655139,-0.0394760478921873,-0.0327383345141017,-0.0382410229164216,0.0118776708536347,0.0536824395682619,-0.0471039053360619,0.00209758653410151,-0.0248801315635946,0.0231001388786909,-0.0724097544789862,0.0246615679448824,0.00607721237406494,-0.0183668683662712,-0.011830508154903,-0.0166279551029955,-0.00874185401639908,-0.0522658689470765,0.0979023049595356,0.0253178122544206,-0.00970631907681933,-0.0961319575831413,0.0143670072534889,0.00997745751794588,0.0194168141448382,0.0169204887413849
"Bosnia & Herzegovina",-0.0630389767835734,-0.050781510541122,-0.151839541451269,0.0167946743496201,0.175670134548395,-0.0795155583041401,0.00783959383813017,0.0980559954123524,0.0513401908110007,-0.0495016258886032,0.0869306585947012,-0.121924700560279,-0.063037443652798,0.0660946611121944,0.028941715895978,0.0780350330756206,0.164864859819383,-0.0994495704603639,0.00762420181680302,-0.0870479532214327,0.0236272299502281,0.0692990011302083,0.12698401024173,0.0412193722857675,-0.0470389177082605,-0.0435538970885083,-0.118056847660767,-0.0230622194704286,-0.0144998581888876
"Brunei",-0.0831714558142747,0.0281631661542787,-0.035093754436911,-0.017299309775048,-0.0440642246465829,-0.0384554029800408,-0.0342040364597555,0.0202179140012299,0.0686463715138938,-0.0598821560036673,-0.00270884945708804,-0.0585137903403092,-0.0337943518043301,-0.126437357864353,0.0189292595133132,-0.000183220653268218,0.00234025951977556,0.072130543243767,-0.0282311683979268,0.000781392617442673,-0.0298938768615525,0.0655177702322289,0.0590912327877076,0.088032646504401,-0.0140693989981449,-0.0372723928592135,-0.0137465424709534,-0.0330354111082359,0.0366578085989917
"Cape Verde",-0.0848579282890939,0.0234676525336468,-0.0198324144983505,-0.00909478675576529,-0.0337402996685449,-0.00169657570813135,0.00200563186093347,0.0307667974899284,0.0708174986503317,-0.0257284472690996,0.0154240915623073,-0.0164406955681237,-0.0162816864074556,0.00655834848727529,0.00746458898481343,0.00976893435213658,-0.0025354334575099,-0.0303489823978989,-0.0283333840913463,-0.0540012685501935,-0.0315451603241868,0.0198945485875493,0.0668944022384343,0.0961374061622332,0.050611440419225,-0.0238342728273521,0.0395119755141067,0.0226652645411591,0.0600180699493758
"Comoros",-0.0832905568746955,0.0232189490427031,-0.0367097304676358,-0.0171302423620973,-0.0275067334942976,-0.0167165692221592,-0.0108480555864868,0.0124933882610563,0.0609320005493611,-0.0227028663131736,0.028846567773066,-0.00103463689466965,-0.0377428082622048,0.00391065193688772,-0.00899819081399719,-0.00914389690774479,-0.0370395131509514,0.0249133801247848,0.0669876785174829,-0.0126804190579232,0.0329650122360033,0.0281401422050689,0.086674464499201,0.0388301607328274,0.0818380089281632,0.00130963015486247,-0.00528499158437867,-0.0363086736705176,0.0265744605574445
"Djibouti",-0.0841328196835697,0.0273023184063102,-0.0284550731359814,-0.0141513643172995,-0.038138331061473,-0.00492876476214942,-0.0107341295352034,0.0111172503958614,0.0581753313165303,-0.0403018624311518,0.021980618540392,0.0178334005357764,-0.0209285576849379,0.0383083957667108,0.0044220286422098,-0.0625630052266386,-0.0837224372518531,0.00486996699406353,0.0446425967038009,0.0355923214129919,-0.0543056558309605,0.0732822577862604,-0.0438194143822956,0.0426830083188824,-0.0531850488588016,-0.077554037272839,-0.00674329597917064,0.00396990655751475,0.0395705925697044
"Guinea-Bissau",-0.0844344193866991,0.0245731192512415,-0.0202050518196113,-0.010732942954813,-0.0290370849889218,-0.023146307819516,0.00715011008026517,0.0330145428750681,0.0563566925217423,-0.0240883383705343,0.0202344354788372,-0.00280689658393684,-0.0102667795928196,-0.00882230911219053,-0.0124627110391813,0.00382638099169585,-0.00115458221176861,-0.029745181847343,-0.018965976490049,-0.049174720523447,-0.0216054151304457,0.026821009407193,0.060887442731824,0.0699663392194821,0.059740079075191,-0.0109372254367911,-0.00475858978848396,-0.0327904358259341,0.0401482869375957
