"Date","State.UnionTerritory","Daily_confirmed"
2021-10-26,"Maharashtra",1201
2021-10-25,"Delhi",27
2021-10-25,"Haryana",17
2021-10-25,"Maharashtra",889
2021-10-24,"Delhi",37
2021-10-24,"Haryana",16
2021-10-24,"Maharashtra",1410
2021-10-23,"Delhi",40
2021-10-23,"Haryana",8
2021-10-23,"Maharashtra",1701
2021-10-22,"Delhi",38
2021-10-22,"Haryana",8
2021-10-22,"Maharashtra",1632
2021-10-21,"Delhi",22
2021-10-21,"Haryana",9
2021-10-21,"Maharashtra",1573
2021-10-20,"Delhi",25
2021-10-20,"Haryana",15
2021-10-20,"Maharashtra",1825
2021-10-19,"Delhi",36
2021-10-19,"Haryana",9
2021-10-19,"Maharashtra",1638
2021-10-18,"Delhi",15
2021-10-18,"Haryana",16
2021-10-18,"Maharashtra",1485
2021-10-17,"Delhi",32
2021-10-17,"Haryana",15
2021-10-17,"Maharashtra",1715
2021-10-16,"Delhi",21
2021-10-16,"Haryana",12
2021-10-16,"Maharashtra",1553
2021-10-15,"Delhi",26
2021-10-15,"Haryana",14
2021-10-15,"Maharashtra",2149
2021-10-14,"Delhi",28
2021-10-14,"Haryana",16
2021-10-14,"Maharashtra",2384
2021-10-13,"Delhi",31
2021-10-13,"Haryana",10
2021-10-13,"Maharashtra",2219
2021-10-12,"Delhi",34
2021-10-12,"Haryana",9
2021-10-12,"Maharashtra",2069
2021-10-11,"Delhi",23
2021-10-11,"Haryana",7
2021-10-11,"Maharashtra",1736
2021-10-10,"Delhi",29
2021-10-10,"Haryana",9
2021-10-10,"Maharashtra",2294
2021-10-09,"Delhi",30
2021-10-09,"Haryana",9
2021-10-09,"Maharashtra",2486
2021-10-08,"Delhi",39
2021-10-08,"Haryana",14
2021-10-08,"Maharashtra",2620
2021-10-07,"Delhi",44
2021-10-07,"Haryana",12
2021-10-07,"Maharashtra",2681
2021-10-06,"Delhi",26
2021-10-06,"Haryana",11
2021-10-06,"Maharashtra",2876
2021-10-05,"Delhi",27
2021-10-05,"Haryana",14
2021-10-05,"Maharashtra",2401
2021-10-04,"Delhi",34
2021-10-04,"Haryana",9
2021-10-04,"Maharashtra",3165
2021-10-03,"Delhi",33
2021-10-03,"Haryana",11
2021-10-03,"Maharashtra",2692
2021-10-02,"Delhi",33
2021-10-02,"Haryana",14
2021-10-02,"Maharashtra",2696
2021-10-01,"Delhi",32
2021-10-01,"Haryana",18
2021-10-01,"Maharashtra",3105
