"date","CLOSE"
2018-06-18,29.4
2018-06-19,30.85
2018-06-20,31.35
2018-06-21,29.85
2018-06-22,29.45
2018-06-25,28.85
2018-06-26,28.65
2018-06-27,27.25
2018-06-28,25.9
2018-06-29,27.15
2018-07-02,25.05
2018-07-03,26.25
2018-07-04,29.75
2018-07-05,29.6
2018-07-06,30.05
2018-07-09,30.8
2018-07-10,31
2018-07-11,32.2
2018-07-12,31.15
2018-07-13,31.5
2018-07-16,31.55
2018-07-17,31.45
2018-07-18,29.85
2018-07-19,29.5
2018-07-20,35.3
2018-07-23,42.35
2018-07-24,46.55
2018-07-25,51.2
2018-07-26,52.55
2018-07-27,53
2018-07-30,58.3
2018-07-31,61.2
2018-08-01,64.25
2018-08-02,67.45
2018-08-03,70.8
2018-08-06,74.3
2018-08-07,70.6
2018-08-08,67.1
2018-08-09,63.75
2018-08-10,66.9
2018-08-13,63.6
2018-08-14,60.45
2018-08-16,57.45
2018-08-17,55.05
2018-08-20,57.8
2018-08-21,57.2
2018-08-23,57.3
2018-08-24,55.85
2018-08-27,55.75
2018-08-28,58.5
2018-08-29,61.05
2018-08-30,59.35
2018-08-31,57.7
2018-09-03,56.3
2018-09-04,53.5
2018-09-05,52.65
2018-09-06,55.25
2018-09-07,55.9
2018-09-10,54.5
2018-09-11,52.9
2018-09-12,52.5
2018-09-14,55.1
2018-09-17,53.7
2018-09-18,53.45
2018-09-19,52.2
2018-09-21,49.65
2018-09-24,47.2
2018-09-25,44.85
2018-09-26,45.4
2018-09-27,43.15
2018-09-28,41
2018-10-01,39.3
2018-10-03,37.35
2018-10-04,35.5
2018-10-05,33.75
2018-10-08,32.1
2018-10-09,30.5
2018-10-10,32
2018-10-11,33.6
2018-10-12,35.25
2018-10-15,36.9
2018-10-16,38.7
2018-10-17,39.4
2018-10-19,37.45
2018-10-22,35.8
2018-10-23,35.25
2018-10-24,37
2018-10-25,36.2
2018-10-26,36.25
2018-10-29,38.05
2018-10-30,39.45
2018-10-31,39.55
2018-11-01,41.25
2018-11-02,41.35
2018-11-05,43.4
2018-11-06,43.15
2018-11-07,45.15
2018-11-09,45.4
2018-11-12,43.2
2018-11-13,42.15
2018-11-14,42.75
2018-11-15,43.45
2018-11-16,42.65
2018-11-19,41.35
2018-11-20,41.55
2018-11-21,43.6
2018-11-22,45.75
2018-11-26,48
2018-11-27,49.5
2018-11-28,48.05
2018-11-29,47.5
2018-11-30,46.75
2018-12-03,46.05
2018-12-04,45.3
2018-12-05,46.6
2018-12-06,45.4
2018-12-07,44.35
2018-12-10,41.25
2018-12-11,43.35
2018-12-12,44.65
2018-12-13,44.2
2018-12-14,44.35
2018-12-17,44.65
2018-12-18,44.3
2018-12-19,44.3
2018-12-20,43.8
2018-12-21,42.55
2018-12-24,42.25
2018-12-26,41.65
2018-12-27,41.55
2018-12-28,41.65
2018-12-31,41.9
2019-01-01,41.35
2019-01-02,41.1
2019-01-03,41
2019-01-04,40.75
2019-01-07,41.05
2019-01-08,41
2019-01-09,40.75
2019-01-10,40.75
2019-01-11,39.9
2019-01-14,39.8
2019-01-15,38.9
2019-01-16,39.1
2019-01-17,39.35
2019-01-18,38.7
2019-01-21,38.15
2019-01-22,37.85
2019-01-23,38.05
2019-01-24,37.15
2019-01-25,35.15
2019-01-28,32.55
2019-01-29,34.8
2019-01-30,37.4
2019-01-31,35.7
2019-02-01,35.7
2019-02-04,33.75
2019-02-05,33.15
2019-02-06,33.25
2019-02-07,34.6
2019-02-08,33.85
2019-02-11,33
2019-02-12,32.05
2019-02-13,32.45
2019-02-14,31.95
2019-02-15,31
2019-02-18,30.1
2019-02-19,30.7
2019-02-20,30.9
2019-02-21,30.9
2019-02-22,32.7
2019-02-25,32.9
2019-02-26,32.9
2019-02-27,32.8
2019-02-28,33.05
2019-03-01,34.25
2019-03-05,36.4
2019-03-06,35.5
2019-03-07,35.65
2019-03-08,35.05
2019-03-11,36.25
2019-03-12,39.15
2019-03-13,39.85
2019-03-14,38.5
2019-03-15,37.95
2019-03-18,37.5
2019-03-19,37.05
2019-03-20,36.4
2019-03-22,36
2019-03-25,35.05
2019-03-26,35.85
2019-03-27,35.45
