"Updated.On","State","Total.Individuals.Vaccinated","Total.Sessions.Conducted","Total.Sites","First.Dose.Administered","Second.Dose.Administered","Male.Individuals.Vaccinated.","Female.Individuals.Vaccinated.","Transgender.Individuals.Vaccinated.","Total.Covaxin.Administered","Total.CoviShield.Administered","Total.Sputnik.V.Administered","AEFI","Total.Doses.Administered","Total.Individuals.Vaccinated_Dailycalc","Population"
2021-05-10,"Meghalaya",284513,48200,398,284513,69656,145265,139226,22,0,354169,NA,257,354169,9055,3366710
2021-05-10,"Mizoram",232953,12763,42,232953,48751,117250,115693,10,0,281704,NA,611,281704,1753,1239244
2021-05-10,"Nagaland",175150,17400,129,175150,47919,103439,71699,12,0,223069,NA,34,223069,2492,2249695
2021-05-10,"Odisha",5094833,205170,1130,5094833,1249181,2663746,2430353,734,539533,5804481,NA,195,6344014,33949,46356334
2021-05-10,"Puducherry",178079,10500,62,178079,42808,90037,88019,23,74,220813,NA,19,220887,1162,1413542
2021-05-10,"Punjab",3343731,349450,2825,3343731,638130,1896537,1446817,377,313158,3668703,NA,118,3981861,44963,30141373
2021-05-10,"Rajasthan",11636945,506323,2457,11636945,2737217,5948412,5686907,1626,769632,13604530,NA,444,14374162,138291,81032689
2021-05-10,"Sikkim",165201,10000,57,165201,56047,88980,76199,22,0,221248,NA,217,221248,396,690251
2021-05-10,"Tamil Nadu",4951333,395270,3336,4951333,1725504,2578019,2372741,573,1016620,5660217,NA,122,6676837,45271,77841267
2021-05-10,"Telangana",4406542,145950,1112,4406542,907358,2240697,2164944,901,657177,4656723,NA,373,5313900,16950,39362732
2021-05-10,"Tripura",960991,111850,678,960991,485255,494279,466581,131,86,1446160,NA,61,1446246,7247,4169794
2021-05-10,"Uttar Pradesh",11025900,881462,5983,11025900,2855153,6220403,4803566,1931,1546417,12334636,NA,1131,13881053,109005,237882725
2021-05-10,"Uttarakhand",1813356,178512,784,1813356,632128,913963,899095,298,9669,2435815,NA,282,2445484,35419,11250858
2021-05-10,"West Bengal",8844778,342346,2009,8844778,3263883,4752862,4090901,1015,1293385,10815276,NA,1032,12108661,18856,99609303
2021-05-09,"India",133854676,5437733,39614,133854676,34450192,70186220,63650307,18149,16321015,151983853,NA,20234,168304868,488194,1366400000
2021-05-09,"Andaman and Nicobar Islands",97748,3800,38,97748,13537,52760,44980,8,0,111285,NA,1,111285,109,417036
2021-05-09,"Andhra Pradesh",5443382,31450,221,5443382,1982310,2792615,2650055,712,1226065,6199627,NA,322,7425692,6790,53903393
2021-05-09,"Arunachal Pradesh",208414,6800,47,208414,70569,117143,91191,80,0,278983,NA,262,278983,668,1570458
2021-05-09,"Assam",2366422,71375,620,2366422,660607,1284673,1081433,316,630457,2396572,NA,168,3027029,20104,35607039
2021-05-09,"Bihar",6411990,520915,2864,6411990,1493708,3339393,3071762,835,456010,7449688,NA,183,7905698,107592,124799926
2021-05-09,"Chandigarh",190204,7400,53,190204,64408,107769,82423,12,0,254612,NA,97,254612,2759,1158473
2021-05-09,"Chhattisgarh",4963503,424005,3372,4963503,893647,2423982,2538986,535,133343,5723807,NA,549,5857150,5146,29436231
2021-05-09,"Dadra and Nagar Haveli and Daman and Diu",82726,7150,71,82726,21060,49357,33365,4,0,103786,NA,85,103786,160,NA
2021-05-09,"Delhi",3045394,8088,71,3045394,862075,1771717,1273146,531,1244756,2662713,NA,865,3907469,936,18710922
2021-05-09,"Goa",310955,6000,41,310955,83458,155634,155300,21,1199,393214,NA,553,394413,1621,1586250
2021-05-09,"Gujarat",10741045,770690,4835,10741045,3295650,5723304,5016410,1331,1429197,12607498,NA,959,14036695,64419,63872399
2021-05-09,"Haryana",3612642,105165,759,3612642,732116,1896228,1715919,495,499858,3844900,NA,829,4344758,39052,28204692
2021-05-09,"Himachal Pradesh",1702305,60050,507,1702305,362978,825316,876716,273,0,2065283,NA,660,2065283,3099,7451955
2021-05-09,"Jammu and Kashmir",2244582,140400,1217,2244582,485745,1313928,930256,398,28873,2701454,NA,107,2730327,8327,13606320
2021-05-09,"Jharkhand",2722859,233300,2013,2722859,580144,1406035,1316552,272,339761,2963242,NA,513,3303003,8665,38593948
2021-05-09,"Karnataka",8591372,580800,5579,8591372,2051951,4137053,4453164,1155,1005810,9637513,NA,2507,10643323,14295,67562686
2021-05-09,"Kerala",6187652,27900,254,6187652,1764904,2809173,3377686,793,416217,7536339,NA,2329,7952556,372,35699443
2021-05-09,"Ladakh",83169,3800,25,83169,36492,45756,37406,7,0,119661,NA,2,119661,137,289023
2021-05-09,"Lakshadweep",20307,6500,14,20307,5636,11364,8941,2,0,25943,NA,0,25943,67,65840
2021-05-09,"Madhya Pradesh",7202462,314190,2485,7202462,1433750,3851501,3350098,863,842561,7793651,NA,501,8636212,825,85358965
2021-05-09,"Maharashtra",14712246,378640,2880,14712246,3351099,7934067,6776255,1924,2053522,16009823,NA,3782,18063345,83365,123144223
2021-05-09,"Manipur",263801,1600,15,263801,66916,152261,111518,22,0,330717,NA,73,330717,189,3091545
2021-05-09,"Meghalaya",275458,1900,12,275458,67925,140552,134886,20,0,343383,NA,257,343383,77,3366710
2021-05-09,"Mizoram",231200,200,1,231200,47052,116257,114934,9,0,278252,NA,611,278252,35,1239244
2021-05-09,"Nagaland",172658,7900,50,172658,46403,101993,70653,12,0,219061,NA,34,219061,430,2249695
2021-05-09,"Odisha",5060884,65100,358,5060884,1138519,2644814,2415341,729,521943,5677460,NA,194,6199403,4487,46356334
2021-05-09,"Puducherry",176917,9600,54,176917,40352,89425,87469,23,74,217195,NA,19,217269,196,1413542
2021-05-09,"Punjab",3298768,302450,2468,3298768,602029,1870414,1427983,371,310046,3590751,NA,118,3900797,24901,30141373
2021-05-09,"Rajasthan",11498654,363240,1782,11498654,2679337,5863900,5633158,1596,750745,13427246,NA,440,14177991,63480,81032689
2021-05-09,"Sikkim",164805,900,6,164805,54507,88758,76026,21,0,219312,NA,217,219312,33,690251
2021-05-09,"Tamil Nadu",4906062,322700,2734,4906062,1663852,2553413,2352083,566,1005549,5564365,NA,122,6569914,10611,77841267
2021-05-09,"Telangana",4389592,21160,144,4389592,815634,2232019,2156678,895,636355,4568871,NA,372,5205226,954,39362732
2021-05-09,"Tripura",953744,48150,342,953744,467767,490856,462758,130,86,1421425,NA,61,1421511,797,4169794
2021-05-09,"Uttar Pradesh",10916895,374375,2644,10916895,2780682,6155890,4759115,1890,1516757,12180820,NA,1129,13697577,2141,237882725
2021-05-09,"Uttarakhand",1777937,109800,481,1777937,595434,894481,883169,287,8879,2364492,NA,282,2373371,9196,11250858
2021-05-09,"West Bengal",8825922,100240,557,8825922,3137939,4742419,4082492,1011,1262952,10700909,NA,1031,11963861,2159,99609303
2021-05-08,"India",133366482,8362691,58214,133366482,34127375,69899266,63449164,18052,16195122,151298735,NA,20212,167493857,1071655,1366400000
2021-05-08,"Andaman and Nicobar Islands",97639,5000,44,97639,13529,52749,44882,8,0,111168,NA,1,111168,669,417036
2021-05-08,"Andhra Pradesh",5436592,178100,1462,5436592,1974208,2788681,2647201,710,1218670,6192130,NA,322,7410800,43528,53903393
2021-05-08,"Arunachal Pradesh",207746,14650,108,207746,69894,116800,90866,80,0,277640,NA,262,277640,2037,1570458
2021-05-08,"Assam",2346318,191800,1583,2346318,656539,1273627,1072381,310,619997,2382860,NA,168,3002857,68764,35607039
2021-05-08,"Bihar",6304398,551651,3138,6304398,1478358,3265339,3038250,809,449731,7333025,NA,183,7782756,43107,124799926
2021-05-08,"Chandigarh",187445,7100,57,187445,62996,106338,81095,12,0,250441,NA,97,250441,4378,1158473
2021-05-08,"Chhattisgarh",4958357,479610,3739,4958357,884299,2421294,2536529,534,130550,5712106,NA,549,5842656,8277,29436231
2021-05-08,"Dadra and Nagar Haveli and Daman and Diu",82566,7100,70,82566,20772,49274,33288,4,0,103338,NA,85,103338,433,NA
2021-05-08,"Delhi",3044458,138932,974,3044458,861454,1771228,1272699,531,1244664,2661248,NA,865,3905912,92979,18710922
2021-05-08,"Goa",309334,7802,53,309334,83008,154712,154601,21,1199,391143,NA,553,392342,4128,1586250
2021-05-08,"Gujarat",10676626,935848,5893,10676626,3204381,5687849,4987458,1319,1410541,12470466,NA,956,13881007,82991,63872399
2021-05-08,"Haryana",3573590,135577,990,3573590,714537,1873745,1699359,486,497059,3791068,NA,829,4288127,54866,28204692
2021-05-08,"Himachal Pradesh",1699206,81550,704,1699206,359660,823810,875123,273,0,2058866,NA,659,2058866,11004,7451955
2021-05-08,"Jammu and Kashmir",2236255,186794,1539,2236255,481231,1309381,926476,398,28864,2688622,NA,107,2717486,27622,13606320
2021-05-08,"Jharkhand",2714194,239790,2102,2714194,570608,1401048,1312875,271,335224,2949578,NA,513,3284802,11801,38593948
2021-05-08,"Karnataka",8577077,694450,6532,8577077,2019817,4129814,4446112,1151,996834,9600060,NA,2505,10596894,49749,67562686
2021-05-08,"Kerala",6187280,120005,971,6187280,1764703,2808977,3377510,793,416141,7535842,NA,2329,7951983,18500,35699443
2021-05-08,"Ladakh",83032,4100,27,83032,36488,45643,37382,7,0,119520,NA,2,119520,1072,289023
2021-05-08,"Lakshadweep",20240,12600,18,20240,5453,11315,8923,2,0,25693,NA,0,25693,109,65840
2021-05-08,"Madhya Pradesh",7201637,412061,2680,7201637,1432440,3851055,3349719,863,842263,7791814,NA,499,8634077,49882,85358965
2021-05-08,"Maharashtra",14628881,591173,4424,14628881,3318539,7886870,6740099,1912,2013967,15933453,NA,3772,17947420,170842,123144223
2021-05-08,"Manipur",263612,10150,89,263612,66895,152158,111432,22,0,330507,NA,73,330507,7173,3091545
2021-05-08,"Meghalaya",275381,24600,222,275381,67907,140512,134849,20,0,343288,NA,257,343288,3859,3366710
2021-05-08,"Mizoram",231165,2400,12,231165,47032,116223,114933,9,0,278197,NA,611,278197,455,1239244
2021-05-08,"Nagaland",172228,7550,41,172228,46389,101733,70483,12,0,218617,NA,34,218617,136,2249695
2021-05-08,"Odisha",5056397,220476,978,5056397,1134109,2642208,2413461,728,517626,5672880,NA,193,6190506,23671,46356334
2021-05-08,"Puducherry",176721,9900,60,176721,40037,89319,87379,23,74,216684,NA,19,216758,869,1413542
2021-05-08,"Punjab",3273867,359011,2750,3273867,585874,1856337,1417164,366,307956,3551785,NA,118,3859741,39860,30141373
2021-05-08,"Rajasthan",11435174,719757,3464,11435174,2651419,5827059,5606528,1587,742510,13344083,NA,438,14086593,88182,81032689
2021-05-08,"Sikkim",164772,6100,37,164772,54369,88741,76010,21,0,219141,NA,217,219141,174,690251
2021-05-08,"Tamil Nadu",4895451,422980,3530,4895451,1650810,2547862,2347025,564,1000822,5545439,NA,121,6546261,28890,77841267
2021-05-08,"Telangana",4388638,137050,1124,4388638,814322,2231492,2156251,895,635641,4567319,NA,372,5202960,12223,39362732
2021-05-08,"Tripura",952947,115060,711,952947,465675,490520,462297,130,86,1418536,NA,61,1418622,6458,4169794
2021-05-08,"Uttar Pradesh",10914754,844661,5387,10914754,2779994,6154586,4758280,1888,1515553,12179195,NA,1129,13694748,81729,237882725
2021-05-08,"Uttarakhand",1768741,146202,674,1768741,580988,889708,878751,282,8487,2341242,NA,282,2349729,15485,11250858
2021-05-08,"West Bengal",8823763,341101,2027,8823763,3128641,4741259,4081493,1011,1260663,10691741,NA,1031,11952404,15753,99609303
2021-05-07,"India",132294827,8244108,57623,132294827,32895173,69304346,62972623,17858,15761911,149428089,NA,20136,165190000,1235937,1366400000
2021-05-07,"Andaman and Nicobar Islands",96970,5400,48,96970,13191,52490,44472,8,0,110161,NA,1,110161,741,417036
2021-05-07,"Andhra Pradesh",5393064,165850,1527,5393064,1862155,2766788,2625576,700,1167687,6087532,NA,322,7255219,47519,53903393
2021-05-07,"Arunachal Pradesh",205709,15550,114,205709,67473,115665,89964,80,0,273182,NA,260,273182,2744,1570458
2021-05-07,"Assam",2277554,187505,1569,2277554,642014,1235029,1042229,296,577829,2341739,NA,168,2919568,65746,35607039
2021-05-07,"Bihar",6261291,384100,2454,6261291,1437476,3239886,3020602,803,438491,7260276,NA,183,7698767,48585,124799926
2021-05-07,"Chandigarh",183067,7300,55,183067,60383,104125,78931,11,0,243450,NA,96,243450,3638,1158473
2021-05-07,"Chhattisgarh",4950080,478795,3725,4950080,865589,2416824,2532725,531,126630,5689039,NA,548,5815669,10173,29436231
2021-05-07,"Dadra and Nagar Haveli and Daman and Diu",82133,6900,69,82133,20096,49025,33104,4,0,102229,NA,85,102229,708,NA
2021-05-07,"Delhi",2951479,102390,665,2951479,822589,1717488,1233474,517,1193011,2581057,NA,855,3774068,68162,18710922
2021-05-07,"Goa",305206,7806,51,305206,81244,152622,152563,21,996,385454,NA,553,386450,4543,1586250
2021-05-07,"Gujarat",10593635,931807,5991,10593635,3086849,5642864,4949468,1303,1385646,12294838,NA,953,13680484,88061,63872399
2021-05-07,"Haryana",3518724,161601,1099,3518724,686199,1841638,1676608,478,491438,3713485,NA,829,4204923,71250,28204692
2021-05-07,"Himachal Pradesh",1688202,84200,724,1688202,349400,818139,869792,271,0,2037602,NA,659,2037602,16582,7451955
2021-05-07,"Jammu and Kashmir",2208633,188280,1587,2208633,464377,1294220,914021,392,26337,2646673,NA,107,2673010,41645,13606320
2021-05-07,"Jharkhand",2702393,147300,1331,2702393,554939,1393906,1308219,268,328316,2929016,NA,512,3257332,10782,38593948
2021-05-07,"Karnataka",8527328,729950,6822,8527328,1923142,4104609,4421578,1141,974772,9475698,NA,2506,10450470,58925,67562686
2021-05-07,"Kerala",6168780,167350,1157,6168780,1700489,2799186,3368802,792,412346,7456923,NA,2327,7869269,30795,35699443
2021-05-07,"Ladakh",81960,3600,21,81960,36339,44903,37050,7,0,118299,NA,2,118299,899,289023
2021-05-07,"Lakshadweep",20131,2300,16,20131,5265,11251,8878,2,0,25396,NA,0,25396,145,65840
2021-05-07,"Madhya Pradesh",7151755,127360,722,7151755,1356517,3822464,3328433,858,803046,7705226,NA,449,8508272,5736,85358965
2021-05-07,"Maharashtra",14458039,739171,5067,14458039,3235335,7791637,6664529,1873,1957794,15735580,NA,3771,17693374,243264,123144223
2021-05-07,"Manipur",256439,11350,85,256439,66351,148562,107856,21,0,322790,NA,73,322790,7571,3091545
2021-05-07,"Meghalaya",271522,38600,354,271522,67198,138438,133064,20,0,338720,NA,256,338720,7233,3366710
2021-05-07,"Mizoram",230710,9915,36,230710,46835,115942,114759,9,0,277545,NA,611,277545,1665,1239244
2021-05-07,"Nagaland",172092,13650,86,172092,46292,101653,70427,12,0,218384,NA,34,218384,1561,2249695
2021-05-07,"Odisha",5032726,192365,984,5032726,1082701,2628610,2403392,724,500886,5614541,NA,192,6115427,26316,46356334
2021-05-07,"Puducherry",175852,9900,59,175852,38195,88898,86931,23,74,213973,NA,19,214047,1026,1413542
2021-05-07,"Punjab",3234007,388800,2939,3234007,556961,1833606,1400038,363,303178,3487790,NA,118,3790968,44848,30141373
2021-05-07,"Rajasthan",11346992,628568,3094,11346992,2544501,5779245,5566171,1576,727581,13163912,NA,436,13891493,80322,81032689
2021-05-07,"Sikkim",164598,11100,68,164598,53770,88646,75931,21,0,218368,NA,217,218368,525,690251
2021-05-07,"Tamil Nadu",4866561,426050,3512,4866561,1612269,2532046,2333957,558,985661,5493169,NA,121,6478830,43385,77841267
2021-05-07,"Telangana",4376415,136425,1056,4376415,746157,2225004,2150520,891,626360,4496212,NA,371,5122572,50512,39362732
2021-05-07,"Tripura",946489,123560,782,946489,449873,487450,458909,130,82,1396280,NA,61,1396362,10276,4169794
2021-05-07,"Uttar Pradesh",10833025,927554,6023,10833025,2726932,6107405,4723751,1869,1479703,12080254,NA,1129,13559957,90522,237882725
2021-05-07,"Uttarakhand",1753256,169611,791,1753256,554407,881802,871175,279,7944,2299719,NA,282,2307663,18790,11250858
2021-05-07,"West Bengal",8808010,512145,2940,8808010,3031670,4732280,4074724,1006,1246103,10593577,NA,1030,11839680,30742,99609303
2021-05-06,"India",131058890,8708024,60671,131058890,31544713,68616643,62424602,17645,15424914,147178689,NA,20079,162603603,1328249,1366400000
2021-05-06,"Andaman and Nicobar Islands",96229,5100,46,96229,12831,52233,43988,8,0,109060,NA,1,109060,729,417036
2021-05-06,"Andhra Pradesh",5345545,207900,1662,5345545,1794561,2741996,2602857,692,1159531,5980575,NA,322,7140106,72349,53903393
2021-05-06,"Arunachal Pradesh",202965,18100,131,202965,64776,114127,88758,80,0,267741,NA,260,267741,3448,1570458
2021-05-06,"Assam",2211808,189650,1556,2211808,623644,1197939,1013583,286,539842,2295610,NA,167,2835452,34957,35607039
2021-05-06,"Bihar",6212706,433200,2713,6212706,1391391,3211123,3000791,792,429065,7175032,NA,183,7604097,61909,124799926
2021-05-06,"Chandigarh",179429,7000,56,179429,58044,102169,77250,10,0,237473,NA,96,237473,3811,1158473
2021-05-06,"Chhattisgarh",4939907,491430,3861,4939907,846941,2411185,2528192,530,122577,5664271,NA,548,5786848,14337,29436231
2021-05-06,"Dadra and Nagar Haveli and Daman and Diu",81425,6800,63,81425,19135,48626,32795,4,0,100560,NA,85,100560,441,NA
2021-05-06,"Delhi",2883317,126950,922,2883317,810497,1676526,1206289,502,1165057,2528757,NA,840,3693814,83304,18710922
2021-05-06,"Goa",300663,7812,53,300663,79264,150067,150576,20,793,379134,NA,553,379927,4084,1586250
2021-05-06,"Gujarat",10505574,957773,6241,10505574,2968238,5594877,4909411,1286,1353073,12120739,NA,953,13473812,87746,63872399
2021-05-06,"Haryana",3447474,173759,1194,3447474,646732,1800382,1646623,469,486720,3607486,NA,828,4094206,72511,28204692
2021-05-06,"Himachal Pradesh",1671620,101380,893,1671620,333540,809548,861803,269,0,2005160,NA,659,2005160,26129,7451955
2021-05-06,"Jammu and Kashmir",2166988,183783,1542,2166988,443913,1271320,895282,386,21374,2589527,NA,106,2610901,33350,13606320
2021-05-06,"Jharkhand",2691611,206250,1842,2691611,541575,1387433,1303911,267,323010,2910176,NA,513,3233186,9678,38593948
2021-05-06,"Karnataka",8468403,665650,6306,8468403,1845787,4072788,4394486,1129,960947,9353243,NA,2504,10314190,81283,67562686
2021-05-06,"Kerala",6137985,120290,945,6137985,1567300,2784001,3353206,778,407131,7298154,NA,2326,7705285,19627,35699443
2021-05-06,"Ladakh",81061,6000,41,81061,36172,44276,36778,7,0,117233,NA,2,117233,1785,289023
2021-05-06,"Lakshadweep",19986,1900,14,19986,5054,11167,8817,2,0,25040,NA,0,25040,114,65840
2021-05-06,"Madhya Pradesh",7146019,488160,3215,7146019,1344132,3819136,3326026,857,799068,7691083,NA,448,8490151,35289,85358965
2021-05-06,"Maharashtra",14214775,852825,5602,14214775,3081334,7656559,6556365,1851,1894014,15402095,NA,3760,17296109,279234,123144223
2021-05-06,"Manipur",248868,12250,95,248868,65563,144705,104142,21,0,314431,NA,73,314431,9110,3091545
2021-05-06,"Meghalaya",264289,41700,378,264289,65919,134409,129860,20,0,330208,NA,255,330208,7210,3366710
2021-05-06,"Mizoram",229045,11133,44,229045,46346,115040,113996,9,0,275391,NA,594,275391,3813,1239244
2021-05-06,"Nagaland",170531,30700,167,170531,45631,100659,69860,12,0,216162,NA,34,216162,1706,2249695
2021-05-06,"Odisha",5006410,152725,776,5006410,1021949,2613400,2392291,719,482968,5545391,NA,192,6028359,19380,46356334
2021-05-06,"Puducherry",174826,10300,62,174826,36084,88331,86472,23,74,210836,NA,19,210910,1059,1413542
2021-05-06,"Punjab",3189159,391550,2913,3189159,528866,1807339,1381468,352,300058,3417967,NA,118,3718025,52107,30141373
2021-05-06,"Rajasthan",11266670,727695,3412,11266670,2470249,5734197,5530910,1563,715559,13021360,NA,436,13736919,71291,81032689
2021-05-06,"Sikkim",164073,12050,72,164073,51383,88344,75708,21,0,215456,NA,217,215456,879,690251
2021-05-06,"Tamil Nadu",4823176,436770,3669,4823176,1556012,2508538,2314086,552,963716,5415472,NA,120,6379188,41697,77841267
2021-05-06,"Telangana",4325903,156760,1154,4325903,716162,2199976,2125049,878,625096,4416969,NA,370,5042065,50716,39362732
2021-05-06,"Tripura",936213,115480,702,936213,426187,482486,453600,127,76,1362324,NA,61,1362400,8745,4169794
2021-05-06,"Uttar Pradesh",10742503,881732,5837,10742503,2660032,6054233,4686425,1845,1441050,11961485,NA,1128,13402535,100256,237882725
2021-05-06,"Uttarakhand",1734466,174352,818,1734466,522014,872239,861951,276,7324,2249156,NA,280,2256480,21592,11250858
2021-05-06,"West Bengal",8777268,301115,1674,8777268,2817455,4715269,4060997,1002,1226791,10367932,NA,1028,11594723,12573,99609303
2021-05-05,"India",129730641,8424665,58108,129730641,30200597,67881167,61832097,17377,15127348,144803890,NA,20041,159931238,1102722,1366400000
2021-05-05,"Andaman and Nicobar Islands",95500,5400,46,95500,12455,51982,43510,8,0,107955,NA,1,107955,436,417036
2021-05-05,"Andhra Pradesh",5273196,195650,1569,5273196,1674029,2705002,2567518,676,1158649,5788576,NA,322,6947225,69016,53903393
2021-05-05,"Arunachal Pradesh",199517,12950,93,199517,62451,112188,87249,80,0,261968,NA,260,261968,3041,1570458
2021-05-05,"Assam",2176851,118020,1011,2176851,608987,1179823,996748,280,531637,2254201,NA,167,2785838,24351,35607039
2021-05-05,"Bihar",6150797,427600,2575,6150797,1325072,3175047,2974968,782,422099,7053770,NA,183,7475869,58748,124799926
2021-05-05,"Chandigarh",175618,6900,55,175618,55204,100003,75605,10,0,230822,NA,96,230822,3561,1158473
2021-05-05,"Chhattisgarh",4925570,460100,3603,4925570,820659,2403542,2521503,525,117486,5628743,NA,547,5746229,11259,29436231
2021-05-05,"Dadra and Nagar Haveli and Daman and Diu",80984,7350,69,80984,18320,48338,32643,3,0,99304,NA,85,99304,430,NA
2021-05-05,"Delhi",2800013,94420,599,2800013,776078,1626372,1173158,483,1117442,2458649,NA,831,3576091,57060,18710922
2021-05-05,"Goa",296579,7520,49,296579,77418,148079,148480,20,579,373418,NA,553,373997,3671,1586250
2021-05-05,"Gujarat",10417828,742193,5050,10417828,2849368,5546804,4869749,1275,1317572,11949624,NA,952,13267196,86868,63872399
2021-05-05,"Haryana",3374963,109273,768,3374963,612135,1757310,1617197,456,483343,3503755,NA,828,3987098,39896,28204692
2021-05-05,"Himachal Pradesh",1645491,90400,783,1645491,310762,797045,848182,264,0,1956253,NA,658,1956253,21047,7451955
2021-05-05,"Jammu and Kashmir",2133638,180850,1504,2133638,426815,1252863,880394,381,16549,2543904,NA,106,2560453,41678,13606320
2021-05-05,"Jharkhand",2681933,243350,2128,2681933,529961,1381596,1300073,264,319092,2892802,NA,513,3211894,10629,38593948
2021-05-05,"Karnataka",8387120,715825,6731,8387120,1763703,4028325,4357686,1109,955020,9195803,NA,2502,10150823,98042,67562686
2021-05-05,"Kerala",6118358,59670,455,6118358,1482126,2774337,3343245,776,402333,7198151,NA,2323,7600484,7939,35699443
2021-05-05,"Ladakh",79276,5900,41,79276,35885,43063,36206,7,0,115161,NA,2,115161,1954,289023
2021-05-05,"Lakshadweep",19872,2500,17,19872,4894,11096,8774,2,0,24766,NA,0,24766,206,65840
2021-05-05,"Madhya Pradesh",7110730,588991,3913,7110730,1269534,3799418,3310460,852,776013,7604251,NA,448,8380264,39200,85358965
2021-05-05,"Maharashtra",13935541,768963,4991,13935541,2866714,7504642,6429098,1801,1857429,14944826,NA,3752,16802255,136213,123144223
2021-05-05,"Manipur",239758,13200,106,239758,64712,140067,99672,19,0,304470,NA,72,304470,11389,3091545
2021-05-05,"Meghalaya",257079,30400,285,257079,64312,130555,126506,18,0,321391,NA,255,321391,5282,3366710
2021-05-05,"Mizoram",225232,11100,35,225232,45909,113033,112190,9,0,271141,NA,592,271141,3366,1239244
2021-05-05,"Nagaland",168825,31400,178,168825,44686,99746,69067,12,0,213511,NA,34,213511,2723,2249695
2021-05-05,"Odisha",4987030,144150,764,4987030,988163,2602038,2384278,714,466208,5508985,NA,192,5975193,12965,46356334
2021-05-05,"Puducherry",173767,9700,57,173767,34007,87766,85978,23,74,207700,NA,19,207774,1081,1413542
2021-05-05,"Punjab",3137052,406355,2970,3137052,498985,1777391,1359324,337,298553,3337484,NA,117,3636037,49447,30141373
2021-05-05,"Rajasthan",11195379,876934,4117,11195379,2430943,5692350,5501488,1541,703252,12923070,NA,434,13626322,87342,81032689
2021-05-05,"Sikkim",163194,10700,63,163194,49494,87847,75326,21,0,212688,NA,217,212688,528,690251
2021-05-05,"Tamil Nadu",4781479,418270,3504,4781479,1497583,2486010,2294927,542,941481,5337581,NA,117,6279062,31119,77841267
2021-05-05,"Telangana",4275187,145750,1154,4275187,685400,2174836,2099486,865,622789,4337798,NA,370,4960587,47432,39362732
2021-05-05,"Tripura",927468,97700,633,927468,401229,478275,449067,126,76,1328621,NA,61,1328697,5764,4169794
2021-05-05,"Uttar Pradesh",10642247,933296,5826,10642247,2585759,5994986,4645434,1827,1398479,11829527,NA,1124,13228006,97356,237882725
2021-05-05,"Uttarakhand",1712874,162850,740,1712874,484813,861746,850861,267,6747,2190940,NA,280,2197687,17392,11250858
2021-05-05,"West Bengal",8764695,289035,1626,8764695,2742032,4707646,4056047,1002,1214446,10292281,NA,1028,11506727,14291,99609303
2021-05-04,"India",128627919,8034995,55739,128627919,29122833,67265833,61344881,17205,14892657,142858095,NA,19982,157750752,931244,1366400000
2021-05-04,"Andaman and Nicobar Islands",95064,4100,36,95064,11954,51742,43314,8,0,107018,NA,1,107018,431,417036
2021-05-04,"Andhra Pradesh",5204180,91200,866,5204180,1543848,2668179,2535341,660,1157926,5590102,NA,322,6748028,8329,53903393
2021-05-04,"Arunachal Pradesh",196476,14600,105,196476,60453,110335,86061,80,0,256929,NA,259,256929,2635,1570458
2021-05-04,"Assam",2152500,230390,1774,2152500,598704,1167151,985071,278,525870,2225334,NA,167,2751204,55552,35607039
2021-05-04,"Bihar",6092049,520230,3101,6092049,1267817,3140680,2950603,766,413470,6946396,NA,183,7359866,64356,124799926
2021-05-04,"Chandigarh",172057,6900,56,172057,53485,98041,74007,9,0,225542,NA,96,225542,3385,1158473
2021-05-04,"Chhattisgarh",4914311,457855,3603,4914311,801201,2397373,2516413,525,113467,5602045,NA,547,5715512,11643,29436231
2021-05-04,"Dadra and Nagar Haveli and Daman and Diu",80554,7000,67,80554,17752,48056,32495,3,0,98306,NA,85,98306,327,NA
2021-05-04,"Delhi",2742953,121000,882,2742953,764682,1591565,1150913,475,1093302,2414333,NA,817,3507635,66580,18710922
2021-05-04,"Goa",292908,7307,50,292908,75949,146277,146611,20,360,368497,NA,553,368857,4103,1586250
2021-05-04,"Gujarat",10330960,882833,5846,10330960,2763197,5497821,4831879,1260,1286410,11807747,NA,950,13094157,87928,63872399
2021-05-04,"Haryana",3335067,152538,1085,3335067,591232,1733506,1601110,451,479717,3446582,NA,826,3926299,55474,28204692
2021-05-04,"Himachal Pradesh",1624444,95450,788,1624444,296509,786692,837489,263,0,1920953,NA,656,1920953,29090,7451955
2021-05-04,"Jammu and Kashmir",2091960,177627,1467,2091960,411664,1229623,861964,373,11063,2492561,NA,102,2503624,26585,13606320
2021-05-04,"Jharkhand",2671304,135750,1247,2671304,515180,1375124,1295918,262,314835,2871649,NA,513,3186484,9431,38593948
2021-05-04,"Karnataka",8289078,615350,5857,8289078,1673657,3975921,4312066,1091,950466,9012269,NA,2501,9962735,35430,67562686
2021-05-04,"Kerala",6110419,98340,767,6110419,1466885,2770380,3339264,775,396731,7180573,NA,2323,7577304,18070,35699443
2021-05-04,"Ladakh",77322,6100,42,77322,35581,41814,35501,7,0,112903,NA,2,112903,1578,289023
2021-05-04,"Lakshadweep",19666,1900,14,19666,4560,10988,8676,2,0,24226,NA,0,24226,206,65840
2021-05-04,"Madhya Pradesh",7071530,191300,1141,7071530,1178003,3777812,3292870,848,749077,7500456,NA,448,8249533,5945,85358965
